d,sigma,omega,log_ratio_zo_over_pw,c_star
1,0.11040746109061289,29.99999999999996,-2.360925201796911,1.2013877434506741
1,0.11040746109061289,40.503826829893846,-2.965667300943146,1.2013877434506741
1,0.11040746109061289,54.68533292886767,-3.562982693678691,1.2013877434506741
1,0.11040746109061289,73.83217516953168,-4.1684031221169295,1.2013877434506741
1,0.11040746109061289,99.68285458470345,-4.762006731451265,1.2013877434506741
1,0.11040746109061289,134.58456933361077,-5.368633410486189,1.2013877434506741
1,0.11040746109061289,181.70633634214732,-5.963697291997216,1.2013877434506741
1,0.11040746109061289,245.3267327032263,-6.56792517726996,1.2013877434506741
1,0.11040746109061289,331.2223832718382,-7.164857863304272,1.2013877434506741
1,0.11040746109061289,447.1924684742427,-7.766491595150024,1.2013877434506741
1,0.11040746109061289,603.766876757117,-8.369886539532787,1.2013877434506741
1,0.11040746109061289,815.1623007265384,-8.969055963129584,1.2013877434506741
1,0.11040746109061289,1100.5730888961868,-9.564645938183755,1.2013877434506741
1,0.11040746109061289,1485.9140602097523,-10.168391355534883,1.2013877434506741
1,0.11040746109061289,2006.1735259613445,-10.76728968983946,1.2013877434506741
1,0.14906415615808105,0.1,8.867227357586254,1.2013877434506741
1,0.14906415615808105,0.13501275609964633,8.113246006402676,1.2013877434506741
1,0.14906415615808105,0.18228444309622582,7.682380063030453,1.2013877434506741
1,0.14906415615808105,0.24610725056510596,7.242343396453254,1.2013877434506741
1,0.14906415615808105,0.33227618194901193,6.945109481893953,1.2013877434506741
1,0.14906415615808105,0.4486152311120365,6.335897858855341,1.2013877434506741
1,0.14906415615808105,0.6056877878071585,5.479860513535196,1.2013877434506741
1,0.14906415615808105,0.8177557756774221,5.143584424029351,1.2013877434506741
1,0.14906415615808105,1.1040746109061288,4.199391591531602,1.2013877434506741
1,0.14906415615808105,1.4906415615808106,3.451475131256622,1.2013877434506741
1,0.14906415615808105,2.012556255857059,3.315568645553059,1.2013877434506741
1,0.14906415615808105,2.717207669088465,2.5243422455032376,1.2013877434506741
1,0.14906415615808105,3.6685769629872937,2.0124551533413064,1.2013877434506741
1,0.14906415615808105,4.953046867365847,1.1832844908732232,1.2013877434506741
1,0.14906415615808105,6.687245086537825,0.5194112347542994,1.2013877434506741
1,0.14906415615808105,9.028633898472895,-0.2845197699552604,1.2013877434506741
1,0.14906415615808105,12.189807464475196,-1.0578609727039125,1.2013877434506741
1,0.14906415615808105,16.457795021028378,-1.7433502489619077,1.2013877434506741
1,0.14906415615808105,22.22012265112078,-2.3605473158611625,1.2013877434506741
1,0.14906415615808105,29.99999999999996,-2.963310225799097,1.2013877434506741
1,0.14906415615808105,40.503826829893846,-3.5619737091359793,1.2013877434506741
1,0.14906415615808105,54.68533292886767,-4.166697498806747,1.2013877434506741
1,0.14906415615808105,73.83217516953168,-4.762466772681904,1.2013877434506741
1,0.14906415615808105,99.68285458470345,-5.361160000731401,1.2013877434506741
1,0.14906415615808105,134.58456933361077,-5.964431795345811,1.2013877434506741
1,0.14906415615808105,181.70633634214732,-6.566795304408667,1.2013877434506741
1,0.14906415615808105,245.3267327032263,-7.164012755064423,1.2013877434506741
1,0.14906415615808105,331.2223832718382,-7.763296923427254,1.2013877434506741
1,0.14906415615808105,447.1924684742427,-8.365082626044533,1.2013877434506741
1,0.14906415615808105,603.766876757117,-8.966785513903005,1.2013877434506741
1,0.14906415615808105,815.1623007265384,-9.568397995253674,1.2013877434506741
1,0.14906415615808105,1100.5730888961868,-10.165506645410812,1.2013877434506741
1,0.14906415615808105,1485.9140602097523,-10.762951378170646,1.2013877434506741
1,0.14906415615808105,2006.1735259613445,-11.365564374368569,1.2013877434506741
1,0.2012556255857059,0.1,8.270811794858293,1.2013877434506741
1,0.2012556255857059,0.13501275609964633,7.525205405258091,1.2013877434506741
1,0.2012556255857059,0.18228444309622582,7.085298325433706,1.2013877434506741
1,0.2012556255857059,0.24610725056510596,6.643702866750323,1.2013877434506741
1,0.2012556255857059,0.33227618194901193,6.337378195433988,1.2013877434506741
1,0.2012556255857059,0.4486152311120365,5.73673531640974,1.2013877434506741
1,0.2012556255857059,0.6056877878071585,4.889674729779161,1.2013877434506741
1,0.2012556255857059,0.8177557756774221,4.546325370594741,1.2013877434506741
1,0.2012556255857059,1.1040746109061288,3.6393073564874663,1.2013877434506741
1,0.2012556255857059,1.4906415615808106,2.9167129640897804,1.2013877434506741
1,0.2012556255857059,2.012556255857059,2.697026181255679,1.2013877434506741
1,0.2012556255857059,2.717207669088465,1.9139833983081809,1.2013877434506741
1,0.2012556255857059,3.6685769629872937,1.303130987065983,1.2013877434506741
1,0.2012556255857059,4.953046867365847,0.4967372017465888,1.2013877434506741
1,0.2012556255857059,6.687245086537825,-0.3400681134808212,1.2013877434506741
1,0.2012556255857059,9.028633898472895,-1.0417632373515393,1.2013877434506741
1,0.2012556255857059,12.189807464475196,-1.7487098353087673,1.2013877434506741
1,0.2012556255857059,16.457795021028378,-2.358812362248438,1.2013877434506741
1,0.2012556255857059,22.22012265112078,-2.963553257954477,1.2013877434506741
1,0.2012556255857059,29.99999999999996,-3.5600866725063796,1.2013877434506741
1,0.2012556255857059,40.503826829893846,-4.16235452399743,1.2013877434506741
1,0.2012556255857059,54.68533292886767,-4.761143009126,1.2013877434506741
1,0.2012556255857059,73.83217516953168,-5.3654395368018175,1.2013877434506741
1,0.2012556255857059,99.68285458470345,-5.966104465128236,1.2013877434506741
1,0.2012556255857059,134.58456933361077,-6.564902039332655,1.2013877434506741
1,0.2012556255857059,181.70633634214732,-7.1666191308844285,1.2013877434506741
1,0.2012556255857059,245.3267327032263,-7.762430513796967,1.2013877434506741
1,0.2012556255857059,331.2223832718382,-8.363539423452952,1.2013877434506741
1,0.2012556255857059,447.1924684742427,-8.968369872740569,1.2013877434506741
1,0.2012556255857059,603.766876757117,-9.567338316093807,1.2013877434506741
1,0.2012556255857059,815.1623007265384,-10.168507809737918,1.2013877434506741
1,0.2012556255857059,1100.5730888961868,-10.767467326113557,1.2013877434506741
1,0.2012556255857059,1485.9140602097523,-11.366411548847895,1.2013877434506741
1,0.2012556255857059,2006.1735259613445,-11.969616822995526,1.2013877434506741
1,0.2717207669088465,0.1,7.675548735996145,1.2013877434506741
1,0.2717207669088465,0.13501275609964633,6.939754451840226,1.2013877434506741
1,0.2717207669088465,0.18228444309622582,6.490467295036326,1.2013877434506741
1,0.2717207669088465,0.24610725056510596,6.049253676263591,1.2013877434506741
1,0.2717207669088465,0.33227618194901193,5.732862654440564,1.2013877434506741
1,0.2717207669088465,0.4486152311120365,5.139231575403627,1.2013877434506741
