C_mu,C_sigma,F_AA,F_AB,F_BA,F_BB,metric,pair,resid,seed,task,total
-0.12478376057821422,-0.001982664410857371,0.3279665620404903,0.3389413216728449,0.46174241784020176,0.4547329870295619,sat95,WML01_vs_PW,0.0,307,g1,-0.1267664249890716
0.012800714651285508,0.0009428972149886482,0.03841441773697414,0.0442746738989904,0.032416856462693544,0.024670805870699985,variance,WML01_vs_PW,0.0,308,g1,0.013743611866274156
-0.15975825301287713,-0.0005981170198276764,0.18541511066457939,0.19140361831450498,0.35056375430755443,0.3457714806972842,sat95,WML01_vs_PW,0.0,308,g1,-0.1603563700327048
0.05438360659231031,0.2243086165089365,0.5632735462601411,0.370957617787246,0.5408826277038722,0.28458132315889434,variance,WML05_vs_PW,0.0,301,leap,0.2786922231012468
-0.05665755072438683,0.15187115377872484,0.6782008815692858,0.5127781787493402,0.7213068832524518,0.5829872785149478,sat95,WML05_vs_PW,0.0,301,leap,0.09521360305433801
0.09670334915628542,0.13447986466328132,0.3971665542300964,0.2806217215650254,0.3183982370720213,0.16598334041052965,variance,WML05_vs_PW,0.0,302,leap,0.23118321381956675
-0.2062524011058032,0.057989432165867244,0.5174750034988888,0.46461571120482387,0.7288575444764943,0.6657379724388247,sat95,WML05_vs_PW,0.0,302,leap,-0.14826296893993596
0.07230024234684956,0.15395510890925446,0.5827155844721225,0.4417890177298978,0.5234438842923027,0.35646023321601844,variance,WML05_vs_PW,0.0,303,leap,0.22625535125610402
-0.09792213328237126,0.0672658063120371,0.683810215715318,0.6192221384116531,0.7844100780060614,0.7144665426856521,sat95,WML05_vs_PW,0.0,303,leap,-0.030656326970334158
0.06417170044617003,0.2747096859506407,0.49982037043336575,0.24363814649722712,0.45417613200169776,0.16093898403655504,variance,WML05_vs_PW,-5.551115123125783e-17,304,leap,0.3388813863968107
-0.17402129688366955,0.10821271052391304,0.5969804267774728,0.46989253809982917,0.7521265455074118,0.6627890131372293,sat95,WML05_vs_PW,0.0,304,leap,-0.0658085863597565
0.011429719729420515,0.4718318064317789,0.6458046385203414,0.18672961327727963,0.647131699979638,0.16254311235914198,variance,WML05_vs_PW,0.0,305,leap,0.48326152616119944
-0.0014043826667695936,0.26190152066235206,0.7577266596063681,0.4882749800561826,0.7515808833853043,0.4972295216107856,sat95,WML05_vs_PW,0.0,305,leap,0.2604971379955825
0.07119101801819745,0.13842870517434408,0.3955807617246478,0.2709919518016899,0.33822963895783653,0.18596103853210624,variance,WML05_vs_PW,2.7755575615628914e-17,306,leap,0.20961972319254155
-0.1327039007006081,0.07470517706036006,0.4851920504039109,0.41777762105475924,0.6251866988157274,0.5431907740441589,sat95,WML05_vs_PW,0.0,306,leap,-0.05799872364024805
0.03004911856858232,0.2680542454289406,0.5434401878469675,0.290331972073945,0.5283370989343033,0.24533682384944458,variance,WML05_vs_PW,0.0,307,leap,0.2981033639975229
-0.02075439037931276,0.1363499999478222,0.6949741970076495,0.5591625688766452,0.7162669592037801,0.5793785874391401,sat95,WML05_vs_PW,0.0,307,leap,0.11559560956850945
0.033479672541050574,0.39821633656696875,0.5099553724652487,0.13028728557089256,0.49502394959681073,0.07825936335722937,variance,WML05_vs_PW,0.0,308,leap,0.4316960091080193
-0.06344001696862733,0.17193502292836138,0.6879798032831276,0.5251104866030533,0.760485526500042,0.5794847973233935,sat95,WML05_vs_PW,0.0,308,leap,0.10849500595973405
