V_N128,V_N64,abs_diff,arm,bank,flagged,rel_diff,seed,task
0.034936220078234166,0.034936212497195696,7.581038470594326e-09,WML01,neutral,False,2.169965283484528e-07,307,g1
0.036321754083961995,0.03632174557561355,8.508348442459734e-09,WML01,pw_rollout,False,2.3424938186607642e-07,307,g1
0.03650443297782097,0.036504436789336014,3.811515041085567e-09,WML01,wml_rollout,False,1.0441238858308885e-07,307,g1
0.03841441773697414,0.03841441774848162,1.150748246692146e-11,WML01,neutral,False,2.9956154862775464e-10,308,g1
0.041785150783143515,0.041785150817725825,3.4582309238473385e-11,WML01,pw_rollout,False,8.276219803046441e-10,308,g1
0.04024454557358537,0.0402445455723392,1.246169833990507e-12,WML01,wml_rollout,False,3.096493739038351e-11,308,g1
0.28458132315889434,0.28458115459930045,1.6855959389383557e-07,PW,neutral,False,5.92307295583559e-07,301,leap
0.1993617843017527,0.19936177708355185,7.218200842595834e-09,PW,pw_rollout,False,3.620654213081486e-08,301,leap
0.2837831256056063,0.28378312723902394,1.6334176233812059e-09,PW,wml_rollout,False,5.755865927177372e-09,301,leap
0.16598334041052965,0.1659830781069722,2.623035574578214e-07,PW,neutral,False,1.5803005097322492e-06,302,leap
0.18011991109965964,0.18011876400040258,1.1470992570539185e-06,PW,pw_rollout,False,6.36853110825284e-06,302,leap
0.1759678171016704,0.1759676874854946,1.2961617579243523e-07,PW,wml_rollout,False,7.36590235233445e-07,302,leap
0.35646023321601844,0.35646169827726865,1.4650612502054017e-06,PW,neutral,False,4.110027188692209e-06,303,leap
0.311595309551621,0.31159546402552396,1.5447390294687224e-07,PW,pw_rollout,False,4.957516952651081e-07,303,leap
0.38866110385419894,0.38865821377779586,2.8900764030836967e-06,PW,wml_rollout,False,7.435980535288837e-06,303,leap
0.16093898403655504,0.16093888155443883,1.024821162098899e-07,PW,neutral,False,6.367762094646535e-07,304,leap
0.18236756092822048,0.18236764824634744,8.731812695117469e-08,PW,pw_rollout,False,4.788029543562462e-07,304,leap
0.1807632333001394,0.18076314841180816,8.488833125319672e-08,PW,wml_rollout,False,4.696106044543255e-07,304,leap
0.16254311235914198,0.16254312198243695,9.62329496645431e-09,PW,neutral,False,5.920456934029578e-08,305,leap
0.11042917848662538,0.11042917835217085,1.3445453084237613e-10,PW,pw_rollout,False,1.217563443693105e-09,305,leap
0.16655809640005378,0.16655810431536192,7.915308131156706e-09,PW,wml_rollout,False,4.7522806169356236e-08,305,leap
0.18596103853210624,0.1859629890704089,1.9505383026530154e-06,PW,neutral,False,1.0488962193638503e-05,306,leap
0.22686558348091904,0.22686569354400823,1.1006308919814245e-07,PW,pw_rollout,False,4.851467001269477e-07,306,leap
0.21465828272749632,0.2146621854810952,3.902753598877817e-06,PW,wml_rollout,False,1.8181239266841018e-05,306,leap
0.24533682384944458,0.2453365766453904,2.4720405417122393e-07,PW,neutral,False,1.0076108848744419e-06,307,leap
0.24418276959726468,0.24418232613281032,4.4346445435272663e-07,PW,pw_rollout,False,1.8161168991740943e-06,307,leap
