checkpoint,env,mode,seed,action_dim,action_pad,actor_out_dim,critic_action_dim,M,eps_e,min_std,with_eta,alpha_entropy,alpha_kl,eta_final,ess_final,final_return,obs_dim,critic_obs_dim,max_episode_steps,path
LeapCubeRotateZAxis_pathwise_fa_s107_final,LeapCubeRotateZAxis,pathwise,107,16,0,16,16,32,0.5,0.1,False,0.000782382907345891,0.008947850205004215,0.0,0.0,22.801921844482422,32,32,500,exports/LeapCubeRotateZAxis_pathwise_fa_s107_final
LeapCubeRotateZAxis_pathwise_fa_s108_final,LeapCubeRotateZAxis,pathwise,108,16,0,16,16,32,0.5,0.1,False,0.000782382907345891,0.007039744406938553,0.0,0.0,31.642131805419922,32,32,500,exports/LeapCubeRotateZAxis_pathwise_fa_s108_final
LeapCubeRotateZAxis_weighted_mle_s101_final,LeapCubeRotateZAxis,weighted_mle,101,16,0,16,16,32,0.5,0.1,True,0.000782382907345891,0.48884737491607666,0.009667955338954926,20.378908157348633,30.90998077392578,32,32,500,exports/LeapCubeRotateZAxis_weighted_mle_s101_final
LeapCubeRotateZAxis_weighted_mle_s102_final,LeapCubeRotateZAxis,weighted_mle,102,16,0,16,16,32,0.5,0.1,True,0.000782382907345891,0.5656040906906128,0.011358397081494331,19.67160415649414,23.850811004638672,32,32,500,exports/LeapCubeRotateZAxis_weighted_mle_s102_final
LeapCubeRotateZAxis_weighted_mle_s103_final,LeapCubeRotateZAxis,weighted_mle,103,16,0,16,16,32,0.5,0.1,True,0.000782382907345891,0.5227668285369873,0.007968088611960411,20.377761840820312,27.564002990722656,32,32,500,exports/LeapCubeRotateZAxis_weighted_mle_s103_final
LeapCubeRotateZAxis_weighted_mle_s104_final,LeapCubeRotateZAxis,weighted_mle,104,16,0,16,16,32,0.5,0.1,True,0.000782382907345891,0.4980354309082031,0.006602143868803978,20.220518112182617,37.772865295410156,32,32,500,exports/LeapCubeRotateZAxis_weighted_mle_s104_final
LeapCubeRotateZAxis_weighted_mle_s105_final,LeapCubeRotateZAxis,weighted_mle,105,16,0,16,16,32,0.5,0.1,True,0.000782382907345891,0.5182294845581055,0.006576273124665022,19.61565589904785,36.17533874511719,32,32,500,exports/LeapCubeRotateZAxis_weighted_mle_s105_final
LeapCubeRotateZAxis_weighted_mle_s106_final,LeapCubeRotateZAxis,weighted_mle,106,16,0,16,16,32,0.5,0.1,True,0.000782382907345891,0.31876885890960693,0.008913315832614899,22.928600311279297,27.818260192871094,32,32,500,exports/LeapCubeRotateZAxis_weighted_mle_s106_final
LeapCubeRotateZAxis_weighted_mle_s107_final,LeapCubeRotateZAxis,weighted_mle,107,16,0,16,16,32,0.5,0.1,True,0.000782382907345891,0.4985778033733368,0.008131725713610649,21.077009201049805,40.208927154541016,32,32,500,exports/LeapCubeRotateZAxis_weighted_mle_s107_final
LeapCubeRotateZAxis_weighted_mle_s108_final,LeapCubeRotateZAxis,weighted_mle,108,16,0,16,16,32,0.5,0.1,True,0.000782382907345891,0.5495988130569458,0.010525661520659924,20.270401000976562,23.94176483154297,32,32,500,exports/LeapCubeRotateZAxis_weighted_mle_s108_final
WalkerRun_pathwise_fa_pad16_s0_final,WalkerRun,pathwise,0,22,16,22,22,32,0.5,0.1,False,0.015279999934136868,0.02360256016254425,0.0,0.0,903.568603515625,24,24,1000,exports/WalkerRun_pathwise_fa_pad16_s0_final
WalkerRun_pathwise_fa_pad16_s1_final,WalkerRun,pathwise,1,22,16,22,22,32,0.5,0.1,False,0.015279999934136868,0.01822563447058201,0.0,0.0,910.3348999023438,24,24,1000,exports/WalkerRun_pathwise_fa_pad16_s1_final
WalkerRun_pathwise_fa_pad16_s2_final,WalkerRun,pathwise,2,22,16,22,22,32,0.5,0.1,False,0.015279999934136868,0.018835142254829407,0.0,0.0,909.5820922851562,24,24,1000,exports/WalkerRun_pathwise_fa_pad16_s2_final
WalkerRun_pathwise_fa_pad16_s3_final,WalkerRun,pathwise,3,22,16,22,22,32,0.5,0.1,False,0.015279999934136868,0.018937135115265846,0.0,0.0,907.1201782226562,24,24,1000,exports/WalkerRun_pathwise_fa_pad16_s3_final
WalkerRun_pathwise_fa_pad16_s4_final,WalkerRun,pathwise,4,22,16,22,22,32,0.5,0.1,False,0.015279999934136868,0.018067296594381332,0.0,0.0,902.1347045898438,24,24,1000,exports/WalkerRun_pathwise_fa_pad16_s4_final
WalkerRun_pathwise_fa_s101_final,WalkerRun,pathwise,101,6,0,6,6,32,0.5,0.1,False,0.014509915374219418,0.009246044792234898,0.0,0.0,911.6944580078125,24,24,1000,exports/WalkerRun_pathwise_fa_s101_final
WalkerRun_pathwise_fa_s102_final,WalkerRun,pathwise,102,6,0,6,6,32,0.5,0.1,False,0.014509915374219418,0.015087048523128033,0.0,0.0,910.4627685546875,24,24,1000,exports/WalkerRun_pathwise_fa_s102_final
WalkerRun_pathwise_fa_s103_final,WalkerRun,pathwise,103,6,0,6,6,32,0.5,0.1,False,0.014509915374219418,0.011381862685084343,0.0,0.0,910.5733642578125,24,24,1000,exports/WalkerRun_pathwise_fa_s103_final
WalkerRun_pathwise_fa_s104_final,WalkerRun,pathwise,104,6,0,6,6,32,0.5,0.1,False,0.014509915374219418,0.010600500740110874,0.0,0.0,909.600830078125,24,24,1000,exports/WalkerRun_pathwise_fa_s104_final
WalkerRun_pathwise_fa_s105_final,WalkerRun,pathwise,105,6,0,6,6,32,0.5,0.1,False,0.014509915374219418,0.015285158529877663,0.0,0.0,907.2993774414062,24,24,1000,exports/WalkerRun_pathwise_fa_s105_final
WalkerRun_pathwise_fa_s106_final,WalkerRun,pathwise,106,6,0,6,6,32,0.5,0.1,False,0.014509915374219418,0.014694049954414368,0.0,0.0,897.6251220703125,24,24,1000,exports/WalkerRun_pathwise_fa_s106_final
WalkerRun_pathwise_fa_s107_final,WalkerRun,pathwise,107,6,0,6,6,32,0.5,0.1,False,0.014509915374219418,0.011504112742841244,0.0,0.0,903.2528076171875,24,24,1000,exports/WalkerRun_pathwise_fa_s107_final
WalkerRun_pathwise_fa_s108_final,WalkerRun,pathwise,108,6,0,6,6,32,0.5,0.1,False,0.014509915374219418,0.019291825592517853,0.0,0.0,889.9786376953125,24,24,1000,exports/WalkerRun_pathwise_fa_s108_final
WalkerRun_weighted_mle_pad16_s0_final,WalkerRun,weighted_mle,0,22,16,22,22,32,0.5,0.1,True,0.015279999934136868,0.7982089519500732,0.04083407670259476,16.634798049926758,571.4214477539062,24,24,1000,exports/WalkerRun_weighted_mle_pad16_s0_final
WalkerRun_weighted_mle_pad16_s1_final,WalkerRun,weighted_mle,1,22,16,22,22,32,0.5,0.1,True,0.015279999934136868,0.6022927761077881,0.05219809710979462,17.693626403808594,630.1123657226562,24,24,1000,exports/WalkerRun_weighted_mle_pad16_s1_final
WalkerRun_weighted_mle_pad16_s2_final,WalkerRun,weighted_mle,2,22,16,22,22,32,0.5,0.1,True,0.015279999934136868,0.4994654059410095,0.055114395916461945,18.285005569458008,651.53515625,24,24,1000,exports/WalkerRun_weighted_mle_pad16_s2_final
WalkerRun_weighted_mle_pad16_s3_final,WalkerRun,weighted_mle,3,22,16,22,22,32,0.5,0.1,True,0.015279999934136868,0.7472954392433167,0.050074703991413116,16.95200538635254,733.09326171875,24,24,1000,exports/WalkerRun_weighted_mle_pad16_s3_final
WalkerRun_weighted_mle_pad16_s4_final,WalkerRun,weighted_mle,4,22,16,22,22,32,0.5,0.1,True,0.015279999934136868,0.8771686553955078,0.05492682382464409,17.471954345703125,456.61376953125,24,24,1000,exports/WalkerRun_weighted_mle_pad16_s4_final
WalkerRun_weighted_mle_s101_final,WalkerRun,weighted_mle,101,6,0,6,6,32,0.5,0.1,True,0.014509915374219418,0.4814116060733795,0.018778257071971893,21.018461227416992,909.2294311523438,24,24,1000,exports/WalkerRun_weighted_mle_s101_final
WalkerRun_weighted_mle_s102_final,WalkerRun,weighted_mle,102,6,0,6,6,32,0.5,0.1,True,0.014509915374219418,0.5815193057060242,0.017814110964536667,20.74217987060547,879.208984375,24,24,1000,exports/WalkerRun_weighted_mle_s102_final
WalkerRun_weighted_mle_s103_final,WalkerRun,weighted_mle,103,6,0,6,6,32,0.5,0.1,True,0.014509915374219418,0.5948183536529541,0.024313069880008698,21.412899017333984,907.6688232421875,24,24,1000,exports/WalkerRun_weighted_mle_s103_final
WalkerRun_weighted_mle_s104_final,WalkerRun,weighted_mle,104,6,0,6,6,32,0.5,0.1,True,0.014509915374219418,0.6038638949394226,0.023032480850815773,20.13007354736328,890.2717895507812,24,24,1000,exports/WalkerRun_weighted_mle_s104_final
WalkerRun_weighted_mle_s105_final,WalkerRun,weighted_mle,105,6,0,6,6,32,0.5,0.1,True,0.014509915374219418,0.5798273086547852,0.018932949751615524,21.03313446044922,909.4074096679688,24,24,1000,exports/WalkerRun_weighted_mle_s105_final
WalkerRun_weighted_mle_s106_final,WalkerRun,weighted_mle,106,6,0,6,6,32,0.5,0.1,True,0.014509915374219418,0.5527227520942688,0.018590401858091354,20.810819625854492,918.0025634765625,24,24,1000,exports/WalkerRun_weighted_mle_s106_final
WalkerRun_weighted_mle_s107_final,WalkerRun,weighted_mle,107,6,0,6,6,32,0.5,0.1,True,0.014509915374219418,0.6470824480056763,0.018269291147589684,20.729137420654297,889.6519775390625,24,24,1000,exports/WalkerRun_weighted_mle_s107_final
WalkerRun_weighted_mle_s108_final,WalkerRun,weighted_mle,108,6,0,6,6,32,0.5,0.1,True,0.014509915374219418,0.5610502362251282,0.015995895490050316,20.46947479248047,890.8977661132812,24,24,1000,exports/WalkerRun_weighted_mle_s108_final
