condition,task,arm,d,seed,state,eta,eta_src,n_ubar,n_c,n_lin,n_v,R_exact,R_linear,norm_ratio,cosine_linear,residual_linear,cos_ubar_c,cos_v_c,cross_fraction,direction_change,logit_spread,q_sd,ess,w_max,n_ubar_raw
walker,walker,A,6,106,628,0.295911076703408,recomputed_counterfactual,0.4544514985117608,2.9729257702659777,34.147454110274644,3.250271266554796,0.15286338564415272,0.013308503089107523,0.08706141783411506,0.709622830397683,10.79953000792128,0.5623214772640674,0.9932935879767595,0.16799124224962322,0.0067064120232405156,36.01743585019534,10.657958222527228,2.0719616281849587,0.6598984221845638,0.4569839021548447
walker,walker,A,6,106,644,0.295911076703408,recomputed_counterfactual,0.3563684117043361,0.1726031179202696,0.17475711181414694,0.305645550531713,2.064669607340977,2.0392212254073665,0.9876743562965508,0.9978434333698665,0.06725099098133117,-0.5151257566519232,-0.035895925154756,-0.4041773389315281,1.035895925154756,0.1968781441967595,0.05825842362863184,30.878181354879132,0.0430231754967339,0.3563684117043184
walker,walker,A,6,106,660,0.295911076703408,recomputed_counterfactual,0.48292387592964026,1.9631698320325117,1.5173287617907563,1.940255306188411,0.24599189945243444,0.3182724061457674,1.2938328735786162,0.9218934906847888,0.4151050970754922,-0.1701685900287114,0.9694555922485946,-0.07894317860086089,0.030544407751405434,1.755130410959346,0.5193625296618765,4.158445289874385,0.37649665444376734,0.36575142546247663
walker,walker,A,6,106,676,0.295911076703408,recomputed_counterfactual,0.5286222035018239,0.3394678305539378,0.32783897431546116,0.6484675614744781,1.557208536189335,1.6124446600773823,1.035471243959699,0.9981757918641616,0.06853406812812232,0.07197075170510867,0.5821619928830207,0.06544630234096149,0.41783800711697927,0.26240873823552796,0.07764965226765849,29.798715370937327,0.05353992884789403,0.5282217653994894
walker,walker,A,6,106,693,0.295911076703408,recomputed_counterfactual,0.46283206548711536,1.6971432094182535,1.1796973225512508,1.7234634311910906,0.272712439892148,0.39233119940103595,1.438625973776493,0.8407783082888078,0.5606351405038928,-0.0790474941206682,0.9635002776329218,-0.04012992424729836,0.03649972236707821,1.3650582134146536,0.4039358456943617,4.026579023751812,0.46469938945100264,0.4838996154257996
walker,walker,A,6,106,709,0.295911076703408,recomputed_counterfactual,0.5770353531672857,1.067660678290635,0.8479283068007057,0.9741322266867677,0.5404669900277685,0.6805237524665274,1.259140271325221,0.97109148975687,0.2971102550307959,-0.4252185312947042,0.844130324800485,-0.35572442900863077,0.155869675199515,0.9212532899969056,0.2726090529595407,12.673778853103233,0.1890843213706761,0.5770353531672967
walker,walker,A,6,106,725,0.295911076703408,recomputed_counterfactual,0.44063033598193246,1.0842248347990793,0.8741595305036595,0.9138667787308946,0.40640125722925396,0.5040616965275811,1.2403054556565292,0.9889913728236633,0.23513692983833234,-0.5594501853271423,0.9166698376283868,-0.390265494773025,0.08333016237161317,0.9363885004265802,0.2770877293739195,11.088977271362573,0.21267040550471453,0.44063033598193263
walker,walker,A,6,106,741,0.295911076703408,recomputed_counterfactual,0.47647571522218196,0.5465541106163724,0.5013126003435067,0.5322799947044926,0.8717814137084583,0.9504562919319073,1.0902461064030216,0.9617472947934697,0.27753280191015617,-0.4654572094581463,0.6101582946298545,-0.46110942142472966,0.3898417053701455,0.555487271980688,0.16437483674684422,21.4795212060075,0.12101453535888183,0.47647571522218346
walker,walker,A,6,106,757,0.295911076703408,recomputed_counterfactual,0.4460491224907409,0.5559510263657849,0.8946594592237658,0.8088561963150567,0.8023172929560581,0.49856860942067094,0.6214107732650854,0.983647235665557,0.6510040625799326,0.29479417237081706,0.8498960772001144,0.2877855888522452,0.1501039227998856,0.7972517541411624,0.2359156249715922,25.231219461633113,0.07595955454284788,0.4460491224907412
walker,walker,A,6,106,773,0.295911076703408,recomputed_counterfactual,0.37277453300262586,0.5902853673736342,0.6867946596229841,0.7232312166330798,0.6315157949121893,0.542774361709099,0.8594786798383259,0.9743866177463599,0.29382490523768195,0.08104249678881133,0.8579496183199864,0.07317582275818696,0.1420503816800136,0.7996170050441107,0.23661552891295826,21.8371581279332,0.08435959411983959,0.37277453300264546
