task,seed,law,law_arm,critic,operator,D,D_se_states,raw_norm_median,n_zero_norm,saturation,M,R,S_eval,u_sha256
walker,307,A,PW,WML,WML-32,0.31222108006477356,0.0038931253366172314,1.0545146465301514,0,0.006754761096090078,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,B,WML,PW,PW-32,0.11526256799697876,0.01388839352875948,0.05087868496775627,0,0.4882000982761383,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,B,WML,PW,PW-1,0.6268280148506165,0.021516285836696625,0.051059968769550323,457,0.4882000982761383,1,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,B,WML,PW,ZO-32,0.5403972864151001,0.026681620627641678,0.08820974826812744,0,0.4882000982761383,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,B,WML,PW,WML-32,0.3758910894393921,0.005823147017508745,0.9182796478271484,0,0.4882000982761383,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,B,WML,WML,PW-32,0.15180225670337677,0.016981057822704315,0.25845158100128174,0,0.4882000982761383,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,B,WML,WML,PW-1,0.660271406173706,0.022603288292884827,0.24163207411766052,457,0.4882000982761383,1,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,B,WML,WML,ZO-32,0.5488724708557129,0.024346601217985153,0.43035888671875,0,0.4882000982761383,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,307,B,WML,WML,WML-32,0.37211984395980835,0.004994360264390707,0.910576581954956,0,0.4882000982761383,32,200,128,2cfe4984c2a121b92bde0c0229c3fa6f4d7a4d008fe20fdeb481e12e59235997
walker,308,A,PW,PW,PW-32,0.01756034977734089,0.0029387222602963448,0.38407233357429504,0,0.01139017753303051,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
