task,cell,seed,coord,mean_FH,median_FH,frac_pos,median_sigma,E_sech2,two_s2_E_sech2
walker,WML_noent,307,0,-0.040914904326200485,0.014324354007840157,0.8697916666666666,0.14700579643249512,0.3076915740966797,3.8197898864746094
walker,WML_noent,307,1,-0.012376382946968079,0.014258066192269325,0.8802083333333334,0.21032656729221344,0.36142048239707947,1.852960467338562
walker,WML_noent,307,2,-0.0363648384809494,0.01422668807208538,0.8541666666666666,0.13563089072704315,0.4755788743495941,3.5062062740325928
walker,WML_noent,307,3,-0.0029495779890567064,0.014275158755481243,0.890625,0.12322641164064407,0.4457949697971344,1.2032800912857056
walker,WML_noent,307,4,-0.0038861206267029047,0.01426590234041214,0.9010416666666666,0.14963459968566895,0.4132867753505707,1.2678252458572388
walker,WML_noent,307,5,-0.04840654134750366,0.014149049296975136,0.828125,0.16453254222869873,0.5144231915473938,4.336101055145264
walker,WML_noent,308,0,0.007810801267623901,0.01427886076271534,0.90625,0.1477336883544922,0.3861332833766937,0.46169212460517883
walker,WML_noent,308,1,0.009534756653010845,0.014314617961645126,0.9270833333333334,0.10336510837078094,0.45034053921699524,0.34287992119789124
walker,WML_noent,308,2,0.0019929378759115934,0.014254230074584484,0.8489583333333334,0.16887670755386353,0.3695319890975952,0.8626499176025391
walker,WML_noent,308,3,0.006405202206224203,0.014380864799022675,0.9322916666666666,0.14114168286323547,0.31528162956237793,0.558563768863678
walker,WML_noent,308,4,0.00824284553527832,0.014262288808822632,0.9010416666666666,0.13902144134044647,0.4104701578617096,0.43191635608673096
walker,WML_noent,308,5,0.00825741421431303,0.014255473390221596,0.9635416666666666,0.17216262221336365,0.43589115142822266,0.4309123754501343
g1,PW_ent,301,0,0.00020212661183904856,0.00020308783859945834,1.0,0.11712464690208435,0.7072765827178955,0.026000961661338806
g1,PW_ent,301,1,0.00019840511959046125,0.0002023417328018695,0.9947916666666666,0.13159236311912537,0.6919935345649719,0.04393383488059044
g1,PW_ent,301,2,0.00020121697161812335,0.0002036293299170211,0.9947916666666666,0.10061191022396088,0.8104478716850281,0.030384210869669914
g1,PW_ent,301,3,0.00019541879009921104,0.00019742842414416373,1.0,0.33272403478622437,0.3507973253726959,0.05832428112626076
g1,PW_ent,301,4,0.00017940376710612327,0.000182133968337439,1.0,0.34878718852996826,0.5820944309234619,0.1354968398809433
g1,PW_ent,301,5,0.00011571238428587094,0.00011333073780406266,0.9895833333333334,0.6032355427742004,0.6066496968269348,0.44241011142730713
g1,PW_ent,301,6,0.00020164034503977746,0.0002033743221545592,1.0,0.11413827538490295,0.7370983958244324,0.028344139456748962
g1,PW_ent,301,7,0.00019458612950984389,0.0001977863721549511,1.0,0.1765373945236206,0.7158753871917725,0.06233671307563782
g1,PW_ent,301,8,0.00019994867034256458,0.00020361936185508966,0.9947916666666666,0.1001276895403862,0.846798837184906,0.036495864391326904
g1,PW_ent,301,9,0.00020020703959744424,0.00020296599541325122,1.0,0.42790496349334717,0.2034585028886795,0.035250868648290634
g1,PW_ent,301,10,0.0001861361670307815,0.00019015034195035696,1.0,0.33982858061790466,0.5012860894203186,0.10305503010749817
g1,PW_ent,301,11,0.00011210169031983241,0.0001187424932140857,0.9791666666666666,0.5960146188735962,0.6341502666473389,0.45980918407440186
