arm,d,rank,sigma,omega,R,r_rms,product
rank1,2,1,0.03322761819490119,73.83217516953168,0.34446996577055217,1.7347232408913933,1.0366013159502259
rank1,2,1,0.03322761819490119,99.68285458470345,0.18853080886780382,2.3420959330234163,1.0341694176379317
rank1,2,1,0.04486152311120365,16.457795021028378,4.693238288288888,0.5001934223729738,1.174217524943311
rank1,2,1,0.04486152311120365,22.22012265112078,2.6482538943524907,0.7013199860830432,1.302542944051882
rank1,2,1,0.04486152311120365,29.99999999999996,1.3367389249571364,0.9545873810942489,1.2180860588524072
rank1,2,1,0.04486152311120365,40.503826829893846,0.6603650011583753,1.2849859582264707,1.0903873683397554
rank1,2,1,0.04486152311120365,54.68533292886767,0.3470994011053775,1.7347209250770836,1.0445111941425436
rank1,2,1,0.04486152311120365,73.83217516953168,0.1884285788423072,2.3420959330090327,1.0336086436776366
rank1,2,1,0.06056877878071584,12.189807464475196,5.302641710164947,0.5264800633360446,1.4697928951231136
rank1,2,1,0.06056877878071584,16.457795021028378,2.5741358393171634,0.6926727820909673,1.2350590058741544
rank1,2,1,0.06056877878071584,22.22012265112078,1.3411743884882914,0.9507220983161205,1.212250658492198
rank1,2,1,0.06056877878071584,29.99999999999996,0.6580288189846603,1.2850583468374999,1.086652311192577
rank1,2,1,0.06056877878071584,40.503826829893846,0.3456757259990674,1.7347227184959062,1.040229141159071
rank1,2,1,0.06056877878071584,54.68533292886767,0.18900349036112377,2.3420959328528763,1.0367622708651862
rank1,2,1,0.0817755775677422,9.028633898472895,5.582319762158385,0.5373737124576602,1.612009307064373
rank1,2,1,0.0817755775677422,12.189807464475196,2.7035697606544256,0.7072846769259434,1.3524651369081728
rank1,2,1,0.0817755775677422,16.457795021028378,1.3458487811568514,0.9484262993955443,1.2106077282569916
rank1,2,1,0.0817755775677422,22.22012265112078,0.6657762724598106,1.28479376366372,1.098993574154016
rank1,2,1,0.0817755775677422,29.99999999999996,0.34592869827284073,1.734723145277917,1.0409909134554265
rank1,2,1,0.0817755775677422,40.503826829893846,0.18889448685259008,2.3420959329738076,1.0361643416703339
rank1,2,1,0.11040746109061289,6.687245086537825,5.242033730140569,0.523699313388935,1.4376852600255674
rank1,2,1,0.11040746109061289,9.028633898472895,2.754578560744921,0.7132139630326106,1.401182927455368
rank1,2,1,0.11040746109061289,12.189807464475196,1.339654266518183,0.9522926537961807,1.2148806076411445
rank1,2,1,0.11040746109061289,16.457795021028378,0.6718472524453628,1.2846361301851692,1.1087427934886764
rank1,2,1,0.11040746109061289,22.22012265112078,0.34593573643289516,1.7347215852569817,1.041010220795056
rank1,2,1,0.11040746109061289,29.99999999999996,0.188858337450581,2.3420959330025863,1.0359660472830834
rank1,2,1,0.14906415615808105,4.953046867365847,5.752152717487122,0.5433050305537651,1.697922488208609
rank1,2,1,0.14906415615808105,6.687245086537825,2.6903510027545194,0.7057590860277988,1.3400527704325667
rank1,2,1,0.14906415615808105,9.028633898472895,1.3350035077317075,0.9538432684647803,1.214608860755964
rank1,2,1,0.14906415615808105,12.189807464475196,0.6612929857471673,1.284901393218513,1.0917759323298473
rank1,2,1,0.14906415615808105,16.457795021028378,0.34704146253643614,1.7347206556749775,1.0443365177455357
rank1,2,1,0.14906415615808105,22.22012265112078,0.18840770945055893,2.3420959328973927,1.033494166338811
rank1,2,1,0.2012556255857059,3.6685769629872937,5.493632221637719,0.5332552353517417,1.5621755544124643
rank1,2,1,0.2012556255857059,4.953046867365847,2.7911270356942794,0.7164102421638624,1.432528185762216
rank1,2,1,0.2012556255857059,6.687245086537825,1.3420139922208438,0.9518919699732251,1.2159966271221734
rank1,2,1,0.2012556255857059,9.028633898472895,0.6592101672635398,1.285007490832648,1.0885169992216486
