task,arm,seed,own_mean,own_med,own_sat95,own_sat99,neu_mean,neu_med,neu_sat95,neu_sat99
g1,WML_eps05,304,0.3356747251196668,0.20989327877759933,0.26110423619259354,0.14734369765422045,1.250908347760376,0.6987193822860718,0.38894073606772966,0.26030099860089656
g1,WML_eps05,305,0.42620858332896927,0.17640239000320435,0.2059938278330137,0.12109582798965546,0.840643787402382,0.3866978883743286,0.3463020142244743,0.23565789152288416
g1,WML_eps05,306,0.4711027666177044,0.2465513050556183,0.3362603775750066,0.21562203196613783,1.7083244781375657,1.0313109159469604,0.46940378734376526,0.3331232705928848
g1,WML_eps05,307,0.4431016895205489,0.1846165508031845,0.21403049849085995,0.1230934268648739,0.9424882995669901,0.5138843357563019,0.3556363975862815,0.2373525740287
g1,WML_eps05,308,0.3070600116625428,0.17547953128814697,0.2000331171132818,0.10653554642977832,1.0027629748885332,0.4687153548002243,0.33025365622925856,0.21580467536175288
g1,PW_noent,301,0.21369488082756555,0.14862602949142456,0.21274130845618122,0.11283086532370859,0.3598833564325502,0.2322249859571457,0.36215556410451216,0.23032278646795987
g1,PW_noent,302,0.22435067537315617,0.15868568420410156,0.2289786293654385,0.12086960755246133,0.34772364334146433,0.2167360931634903,0.3546152794351441,0.22400340435673227
g1,PW_noent,303,0.2565973560665681,0.1746070757508278,0.2813320043775054,0.16111380387869093,0.41217735919103843,0.28312769532203674,0.39437511976486783,0.2586058263340072
g1,PW_noent,304,0.2819330664057199,0.2300267517566681,0.4093932792960977,0.25807360709034,0.4443106455600455,0.34786269068717957,0.4530935712004412,0.3011255597932483
g1,PW_noent,305,0.23070200039314684,0.15668682754039764,0.21063385062387288,0.10809486010702289,0.3388880661685567,0.23588347434997559,0.38218520529986433,0.24713308191890954
g1,PW_noent,306,0.2813958051954343,0.23141564428806305,0.37624968206213777,0.24171122356574218,0.3684804888546531,0.27784663438796997,0.3870940763767281,0.24881936633909604
g1,PW_noent,307,0.25864341045226685,0.19963012635707855,0.3622879042189584,0.2248030636434503,0.4636554712689403,0.3646194785833359,0.4547329870295619,0.3128619432048156
g1,PW_noent,308,0.2381870023258587,0.1941043883562088,0.2788137153608122,0.1552296920798793,0.324063417913801,0.24907122552394867,0.3457714806972842,0.20962584668511267
leap,WML_eps01,301,0.5546335363954616,0.1450280398130417,0.17293494805224427,0.060468857087640826,77.2226159591255,5.584871530532837,0.722867121409963,0.6287718275380217
