d,sigma,omega,r,var_pw_e,var_zo_e,mse_pw,mse_zo,mse_wml,cos_pw,cos_zo,cos_wml,win_wml_vs_pw,win_zo_vs_pw,om_meas,ratio_e,mse_ratio_zo_pw,mse_ratio_wml_pw
4,0.4,0.5,0.1,0.00014140206170624867,0.01984457279151914,0.021660670835566952,0.046071357677169855,0.04826366468923207,0.9458483229110827,0.8848216058070755,0.8793408382769199,0.23577880859375,0.202606201171875,0.4830327107266724,140.3414671049467,2.126958949097754,2.228170357955066
4,0.4,1.0,0.2,0.0034439361505333964,0.0378067102340915,0.01831519785282667,0.042856934942652816,0.04892674592026865,0.9542120053679333,0.892857662643368,0.8776831351993284,0.15338134765625,0.146514892578125,0.9999534837150562,10.977761660371085,2.3399657097364366,2.6713741403955162
4,0.4,2.0,0.4,0.029248949409715685,0.21120826419666516,0.07297457480273259,0.0981127832219872,0.10786330810427203,0.8175635629931686,0.7547180419450319,0.7303417297393199,0.327239990234375,0.309112548828125,1.999999995794997,7.2210547202255295,1.3444789981607854,1.4780943691121446
4,0.4,4.0,0.8,0.23422425424702664,0.3730559209624243,0.08399363896694587,0.12290999529251523,0.1353524274146535,0.7900159025826354,0.6927250117687119,0.6616189314633663,0.303741455078125,0.31884765625,4.0000000037881005,1.5927296776403763,1.4633250422795012,1.611460451998263
4,0.4,8.0,1.6,0.9996845238845843,0.38310391725297765,0.09188794802779027,0.07803012354398789,0.11964465851566658,0.7702801299305244,0.8049246911400303,0.7008883537108337,0.36822509765625,0.45965576171875,8.000000048608962,0.3832248155291117,0.8491877903333823,1.3020712844679225
4,0.4,16.0,3.2,3.970759590079261,0.37516082123463645,0.1750257845143322,0.07716964659389698,0.11689627427323043,0.5624355387141695,0.8070758835152576,0.7077593143169238,0.5357666015625,0.61737060546875,16.000000078426954,0.09448087015188643,0.44090444621076874,0.6678803045939682
4,0.4,32.0,6.4,16.148806551758952,0.38025792085012466,0.25552406535302663,0.07749975239386858,0.11712991987695996,0.36118983661743337,0.8062506190153286,0.7071752003076002,0.634735107421875,0.7047119140625,31.99999941048663,0.02354712217471615,0.3032972737295666,0.45839095317748546
4,0.4,64.0,12.8,63.88339891793623,0.37999624373751106,0.3131847311289594,0.07793993537323232,0.11717694393378926,0.21703817217760155,0.8051501615669193,0.7070576401655269,0.710601806640625,0.775177001953125,63.99999961370203,0.005948278428729962,0.24886250071092758,0.37414641356043493
4,0.8,0.5,0.2,0.0006066717368148396,0.016499763307248526,0.033058258449507175,0.07914449717035124,0.06658347777070925,0.9173543538762321,0.802138757074122,0.8335413055732269,0.285186767578125,0.18170166015625,0.4999932736551974,27.197184747514232,2.3940915487497834,2.014125392370809
4,0.8,1.0,0.4,0.006534565424076523,0.056086497708672425,0.03777187062031522,0.07430816421346235,0.06876378157717214,0.905570323449212,0.8142295894663442,0.8280905460570697,0.339569091796875,0.250396728515625,1.0000000064309307,8.5830493795383,1.9672884343063606,1.8205024121889326
4,0.8,2.0,0.8,0.057948795322679776,0.09309512396996297,0.04078722029486884,0.08827094886514093,0.11478420239957307,0.8980319492628279,0.7793226278371477,0.7130394940010674,0.2020263671875,0.220001220703125,2.000000005461283,1.6065066314420475,2.1641815310528947,2.8142197867309258
4,0.8,4.0,1.6,0.24944986391980256,0.09450418651824652,0.04416288182927923,0.0686236353225145,0.08506802534378433,0.889592795426802,0.8284409116937137,0.7873299366405393,0.280609130859375,0.313232421875,3.9999999985984696,0.37885042322023216,1.5538758450545276,1.9262335658400285
4,0.8,8.0,3.2,0.9860840122845996,0.09423315769013255,0.10179677513675481,0.06692925533867272,0.08103245878000578,0.745508062158113,0.8326768616533182,0.7974188530499856,0.45556640625,0.492034912109375,7.999999974809186,0.09556301138257918,0.65747913181689,0.7960218648493134
4,0.8,16.0,6.4,3.9861595378100145,0.09451502297933681,0.1738613176885816,0.06735791575499944,0.08058538661652728,0.5653467057785461,0.8316052106125015,0.7985365334586818,0.65667724609375,0.691986083984375,15.999999985182342,0.02371079784510158,0.3874232442874393,0.4635038298793462
4,0.8,32.0,12.8,15.87255955600019,0.09458012939918331,0.25196904558208877,0.06817482551857568,0.08098730028357486,0.37007738604477797,0.8295629362035608,0.7975317492910629,0.74151611328125,0.767669677734375,31.999999963164136,0.005958719453248475,0.270568257148734,0.3214176570637129
4,0.8,64.0,25.6,63.93722266723793,0.09438356788324304,0.29725140985169685,0.0678388424524328,0.08114886358326595,0.25687147537075794,0.8304028938689181,0.7971278410418352,0.87841796875,0.90460205078125,64.00000021729926,0.0014761912379970504,0.22822042286116861,0.27299740520575605
8,0.05,0.5,0.008838834764831844,2.136223496434143e-06,0.038252491961812206,0.02597899564131881,0.06321106796172035,0.09863241491717677,0.935052510896703,0.8419723300956992,0.7534189627070581,0.040191650390625,0.0853271484375,1.3585944825499099,17906.596395772525,2.433160574582993,3.7966215583909984
8,0.05,1.0,0.017677669529663688,3.821836447898266e-05,0.13736282653357973,0.07979096790381414,0.11187150673106075,0.142861381340104,0.8005225802404647,0.7203212331723481,0.64284654664974,0.140777587890625,0.194488525390625,1.3990644240548324,3594.157636157334,1.4020572712680819,1.7904455240136898
8,0.05,2.0,0.035355339059327376,0.0004848356457771551,0.6607517266051927,0.16072753620712465,0.1843707023739556,0.20653613060840714,0.5981811594821884,0.5390732440651111,0.48365967347898214,0.265594482421875,0.30267333984375,2.5363624672233795,1362.8365248311256,1.1471009058233974,1.2850077558723376
8,0.05,4.0,0.07071067811865475,0.008919285064835756,2.3138213237730816,0.23440690891207142,0.2513128390207917,0.2710949111495451,0.4139827277198214,0.3717179024480206,0.32226272212613727,0.333038330078125,0.374755859375,4.2111955441113755,259.41780164593155,1.0721221494160904,1.1565141676401516
8,0.05,8.0,0.1414213562373095,0.12136136403850745,9.316137119179889,0.31751396793207737,0.33618193953752146,0.33848833920536414,0.2062150801698066,0.15954515115619622,0.15377915198658954,0.483917236328125,0.4158935546875,8.002729047636102,76.7636157766315,1.0587941744012899,1.0660581057579603
8,0.05,16.0,0.282842712474619,1.4829361139961583,29.049466178573592,0.23273589181647558,0.26616427472164544,0.2865341509480894,0.4181602704588111,0.33458931319588636,0.28366462262977654,0.32098388671875,0.35595703125,16.0000000268522,19.589155530302804,1.1436322633533889,1.2311558338154243
