ckpt,c,state,state_source,N_state,z2_dim0,z2_dim1,z2_dim2,z2_dim3,z2_dim4,z2_dim5
WML,0.1,56,WML,-2875.338545,120.806788,-2800.895204,-7.055091,-627.128268,0.000000,438.933230
WML,0.1,57,WML,-4091.656976,-2070.011768,0.000028,2347.632401,422.740346,84.891556,-4876.909538
WML,0.1,58,WML,8702.886964,766.608563,7722.273035,0.257505,-140.915485,0.000000,354.663347
WML,0.1,59,WML,1340.843663,970.579538,-101.667188,-30.326018,572.101824,-49.492304,-20.352189
WML,0.1,60,WML,1448.764088,902.737315,176.561627,16.966256,259.824273,-889.968795,982.643412
WML,0.1,61,WML,-870.344899,-479.128858,-721.880031,0.000000,-798.421189,1211.888339,-82.803161
WML,0.1,62,WML,26829.051436,17065.666762,195.767165,6083.124794,1605.068335,1853.771196,25.653183
WML,0.1,63,WML,741.105442,249.044117,25.073155,0.000000,-42.136969,0.000005,509.125133
WML,0.05,0,PW,6797.617677,1197.121707,0.000000,-8192.474218,7495.311955,4198.486236,2099.171997
WML,0.05,1,PW,-42926.575722,-6413.150300,0.000000,-34183.718753,-6361.513865,0.000002,4031.807195
WML,0.05,2,PW,-5774.624910,-3522.461125,6672.027543,-2157.814931,-4150.080727,0.000066,-2616.295735
WML,0.05,3,PW,55126.926431,-6648.385619,1889.891737,223.415889,0.000003,57652.596570,2009.407852
WML,0.05,4,PW,-56227.083568,-41168.974167,-673.954760,-2675.381509,-6960.019734,0.000000,-4748.753399
WML,0.05,5,PW,-14565.262005,592.127421,-7039.761554,-15113.803404,4734.269416,702.545644,1559.360473
WML,0.05,6,PW,-22977.454110,-802.638264,-3935.321871,436.924091,-16508.744943,0.000000,-2167.673123
WML,0.05,7,PW,-3283.395065,545.695854,-2601.296797,-2463.222550,-7182.712062,2162.738449,6255.402041
WML,0.05,8,PW,-129.840819,5507.145634,0.000000,4593.743489,-3398.513173,-5456.186661,-1376.030108
WML,0.05,9,PW,-24789.591009,-5127.339047,-443.891651,-4408.923384,-5138.562159,592.978914,-10263.853682
WML,0.05,10,PW,27752.047507,4183.589770,2285.049079,10157.515686,3537.484303,4914.324844,2674.083825
WML,0.05,11,PW,-6821.754286,15642.179209,2799.546181,2073.322595,13460.867433,-40723.776525,-73.893180
WML,0.05,12,PW,76922.027365,0.000000,0.000000,0.000000,92245.271418,-22152.185004,6828.940951
WML,0.05,13,PW,-3003.542780,276.228065,-115.278976,0.000000,292.439117,-2449.314292,-1007.616693
WML,0.05,14,PW,15239.195376,-1535.153954,-4389.140537,-3898.536931,12140.515907,-7209.825871,20131.336762
WML,0.05,15,PW,-40733.700094,38014.641566,-23676.612721,-17709.725987,21694.380360,0.000000,-59056.383312
WML,0.05,16,PW,-18231.971029,3399.027755,7329.771426,6634.981621,-46086.487686,-663.496790,11154.232644
WML,0.05,17,PW,-7893.866917,93.452013,144.879353,-3677.059051,-3855.477737,-1527.831799,928.170304
WML,0.05,18,PW,33053.885251,-5468.115245,8035.398527,-996.997223,17696.365431,-15668.305901,29455.539662
WML,0.05,19,PW,165241.836518,16699.910252,24060.825901,-13554.855122,32563.117319,12944.767405,92528.070763
WML,0.05,20,PW,-16799.493192,-1158.344413,-20742.777948,0.000024,-10808.186339,12293.071137,3616.744347
WML,0.05,21,PW,-9520.124649,-10378.204627,1179.955699,0.000005,0.000000,-321.875726,0.000000
WML,0.05,22,PW,-14231.405808,-10933.916158,11982.097740,699.686039,0.000003,1789.606196,-17768.879628
WML,0.05,23,PW,-4326.418942,2885.653555,-2588.791492,-3078.918345,-3266.678827,-1311.270411,3033.586579
WML,0.05,24,PW,168591.414423,9854.755904,173754.486786,-7626.613755,19416.050176,17224.629844,-44031.894532
WML,0.05,25,PW,20042.708464,3072.300389,13224.083561,5362.353550,-1459.416903,-5862.141745,5705.529612
WML,0.05,26,PW,-12770.357184,278.054151,0.000000,-3979.921084,-8934.291375,-141.599219,7.400344
WML,0.05,27,PW,202.485909,1093.062916,2271.553688,0.000000,-416.717856,-1223.534464,-1521.878375
WML,0.05,28,PW,-6446.422405,2748.901144,-4950.086227,11806.066207,-4063.909573,7284.773916,-19272.167872
WML,0.05,29,PW,7067.192534,6797.003149,-1876.590621,-11004.495026,-3743.366093,-2781.777423,19676.418548
WML,0.05,30,PW,-4822.921059,-3067.275566,-421.709462,0.000000,-626.326762,-234.982546,-472.626724
WML,0.05,31,PW,-183850.769949,-130724.557666,0.000035,-94684.051953,73728.669738,23119.779943,-55290.610045
WML,0.05,32,WML,-10020.927649,0.000000,0.000000,-19262.950327,-271.852544,-210.864428,9724.739650
WML,0.05,33,WML,517860.478223,209266.857380,1402.498560,3379.707084,247467.009984,56344.405216,0.000000
